SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,1,INE253B01015,10
3IINFOTECH,3i Infotech Limited,EQ,22-Apr-05,10,1,INE748C01020,10
3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,1,INE619I01012,10
AAKASH,Aakash Exploration Services Limited,BE,29-Sep-20,10,1,INE087Z01016,10
